2026-03-12 21:20:40,053 | [INFO] | Intel | [21:20:40] 10.15.155.124      [DNS-QUERY     ] {'domain': 'oneocsp.microsoft.com'}
2026-03-12 21:20:40,186 | [INFO] | Intel | [21:20:40] 10.15.155.124      [HTTP-REQUEST  ] {'method': 'GET', 'url': 'http://oneocsp.microsoft.com/ocsp/MFQwUjBQME4wTDAJBgUrDgMCGgUABBR0TBEVYklX7A9yLoLD9hqmCWDxFgQU
2026-03-12 21:20:46,919 | [INFO] | Intel | [21:20:46] 10.15.155.124      [DNS-QUERY     ] {'domain': 'g.live.com'}
2026-03-12 21:20:47,787 | [INFO] | Intel | [21:20:47] 10.15.155.124      [DNS-QUERY     ] {'domain': 'oneclient.sfx.ms'}
2026-03-12 21:20:47,893 | [INFO] | Intel | [21:20:47] 10.15.155.124      [DNS-QUERY     ] {'domain': 'oneclient.sfx.ms'}
2026-03-12 21:20:59,837 | [INFO] | Intel | [21:20:59] 10.15.155.124      [DNS-QUERY     ] {'domain': 'self.events.data.microsoft.com'}
2026-03-12 21:21:11,958 | [INFO] | Intel | [21:21:11] 10.15.155.124      [DNS-QUERY     ] {'domain': 'x1.c.lencr.org'}
2026-03-12 21:21:12,110 | [INFO] | Intel | [21:21:12] 10.15.155.124      [HTTP-REQUEST  ] {'method': 'GET', 'url': 'http://x1.c.lencr.org/', 'ua': 'Microsoft-CryptoAPI/10.0'}
2026-03-12 21:21:14,886 | [INFO] | Intel | [21:21:14] 10.15.155.124      [DNS-QUERY     ] {'domain': 'signaler-pa.clients6.google.com'}
2026-03-12 21:21:14,887 | [INFO] | Intel | [21:21:14] 10.15.155.124      [DNS-QUERY     ] {'domain': 'signaler-pa.clients6.google.com'}
2026-03-12 21:21:19,136 | [INFO] | Intel | [21:21:19] 10.15.155.124      [DNS-QUERY     ] {'domain': 'www.google.com'}
2026-03-12 21:21:19,139 | [INFO] | Intel | [21:21:19] 10.15.155.124      [DNS-QUERY     ] {'domain': 'www.google.com'}
2026-03-12 21:21:19,141 | [INFO] | Intel | [21:21:19] 10.15.155.124      [DNS-QUERY     ] {'domain': 'www.instagram.com'}
2026-03-12 21:21:19,144 | [INFO] | Intel | [21:21:19] 10.15.155.124      [DNS-QUERY     ] {'domain': 'www.instagram.com'}
2026-03-12 21:21:25,180 | [INFO] | Intel | [21:21:25] 10.15.155.124      [DNS-QUERY     ] {'domain': 'accounts.google.com'}
2026-03-12 21:21:25,181 | [INFO] | Intel | [21:21:25] 10.15.155.124      [DNS-QUERY     ] {'domain': 'accounts.google.com'}
2026-03-12 21:21:25,557 | [INFO] | Intel | [21:21:25] 10.15.155.124      [DNS-QUERY     ] {'domain': 'us.i.posthog.com'}
2026-03-12 21:21:25,901 | [INFO] | Intel | [21:21:25] 10.15.155.124      [DNS-QUERY     ] {'domain': 'us.i.posthog.com'}
2026-03-12 21:21:30,131 | [INFO] | Intel | [21:21:30] 10.15.155.124      [DNS-QUERY     ] {'domain': 'graph.instagram.com'}
2026-03-12 21:21:30,132 | [INFO] | Intel | [21:21:30] 10.15.155.124      [DNS-QUERY     ] {'domain': 'graph.instagram.com'}
2026-03-12 21:21:40,822 | [INFO] | Intel | [21:21:40] 10.15.155.124      [DNS-QUERY     ] {'domain': 'edge.microsoft.com'}
2026-03-12 21:21:40,824 | [INFO] | Intel | [21:21:40] 10.15.155.124      [DNS-QUERY     ] {'domain': 'edge.microsoft.com'}
